time,hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi
0,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35575,497.5,175.62,0,6665,none,A3,1013.6,35008,165.23,41.277969,-122.791748,8,186,0.5,2,1,10,2,3,perhour,2,2,0,0,[],[],56256470,0.1,-7.5
100,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35575,498.4,175.74,64,6665,none,A3,1013.6,35008,165.23,41.047348,-122.768921,8,186,0.2,2,1,10,2,3,perhour,2,2,0,0,[],[],56257685,0,-12.5
200,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35575,498.4,175.74,0,6665,none,A3,1013.6,35008,165.23,40.817917,-122.746155,8,186,0,2,1,10,2,3,perhour,2,2,0,0,[],[],56258965,0,-8.4
300,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35600,496.4,175.73,0,6665,none,A3,1013.6,35008,165.23,40.588257,-122.723694,8,186,0.1,2,1,10,2,3,perhour,2,2,0,0,[],[],56260359,0.1,-10.4
400,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35625,494.4,175.71,0,6665,none,A3,1013.6,24000,165.23,40.360062,-122.70166,8,186,0.3,2,1,10,2,3,perhour,2,2,0,0,[],[],56262017,0.1,-7.1
500,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35625,494.3,175.82,0,6665,none,A3,1013.6,24000,165.23,40.1315,-122.679443,8,186,0.2,2,1,10,2,3,perhour,2,2,0,0,[],[],56263916,0,-8.1
600,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,35000,35650,495.3,175.83,0,6665,none,A3,1013.6,24000,165.23,39.903508,-122.657715,8,186,0.2,2,1,10,2,3,perhour,2,2,0,0,[],[],56265858,0.1,-11.4
700,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,34325,35000,510.4,175.73,-896,6665,none,A3,1013.6,24000,165.23,39.674191,-122.635803,8,186,0.4,2,1,10,2,3,perhour,2,2,0,0,[],[],56268191,0,-11.3
800,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,30050,30725,501.5,175.54,-2432,6665,none,A3,1013.6,4992,165.23,39.438032,-122.613525,8,186,0.3,2,1,10,2,3,perhour,2,2,0,0,[],[],56270682,0,-8.2
900,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,26100,26725,469.2,175.97,-2304,6665,none,A3,1013.6,4992,165.23,39.213743,-122.592529,8,186,0.1,2,1,10,2,3,perhour,2,2,0,0,[],[],56273143,0,-9.8
1000,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,23000,23500,449.3,168.97,64,6665,none,A3,1013.6,4992,161.02,39.004211,-122.559118,8,186,0.4,2,1,10,2,3,perhour,2,2,0,0,[],[],56275669,0.1,-10.3
1100,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,19925,20375,424,168.85,-1920,6665,none,A3,1013.6,4992,156.09,38.805852,-122.509888,8,186,0.2,2,1,10,2,3,perhour,2,2,0,0,[],[],56278356,0,-9.6
1200,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,16475,16825,409.8,173.27,-2048,6665,none,A3,1020.8,4992,161.72,38.616617,-122.468933,8,186,0.1,2,1,10,2,3,perhour,2,2,0,0,[],[],56281198,0,-5
1300,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,13025,13250,391.8,173.11,-2112,6665,none,A3,1020.8,4992,161.72,38.432829,-122.440857,8,186,0.3,2,1,10,2,3,perhour,2,2,0,0,[],[],56284323,0,-8
1400,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,10000,10175,345.4,173.18,-448,6665,none,A3,1020.8,4992,161.72,38.25877,-122.414445,8,186,0.1,2,1,10,2,3,perhour,2,2,0,0,[],[],56287372,0,-4.3
1500,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,8450,8625,306.2,173.06,-1536,6665,none,A3,1020.8,4992,161.72,38.113434,-122.392233,8,186,0.3,2,1,10,2,3,perhour,2,2,0,0,[],[],56290493,0,-7
1600,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,6800,6925,278,143.34,0,6665,none,A3,1020.8,4992,130.08,37.984497,-122.343633,8,186,0.4,2,1,10,2,3,perhour,2,2,0,0,[],[],56293677,0,-8.3
1700,a2fcf2,adsb_icao,ASA982  ,N292AK,B739,6775,6900,279.2,143.01,-320,6665,none,A3,1020.8,4992,125.86,37.881317,-122.245457,8,186,0.4,2,1,10,2,3,perhour,2,2,0,0,[],[],56297036,0,-4.9
